time,loat_abmc_block,loat_abmc,loat_bmc,loat_adcl,spacer,z3_bmc,golem_tpa,golem_bmc,eldarica
49,92,92,77,86,86,91,76,76,57
50,92,92,77,86,86,91,76,76,57
51,92,92,77,86,86,91,76,76,57
52,92,92,77,86,86,91,76,76,57
53,92,92,77,87,87,91,76,76,57
54,92,92,77,87,87,91,76,76,57
55,92,92,77,87,87,92,76,76,57
56,92,92,78,87,87,92,76,76,57
57,92,92,79,87,88,92,76,77,57
58,92,92,79,87,88,92,76,77,57
59,92,92,79,87,88,92,76,77,57
60,92,92,79,87,88,92,76,77,57
61,92,92,79,87,88,92,77,77,57
62,92,92,79,87,88,92,77,77,57
63,93,93,79,87,88,92,77,77,57
64,93,93,79,87,88,92,77,77,57
65,93,93,79,87,88,92,77,77,57
66,93,93,79,87,88,92,77,77,57
67,93,93,79,87,88,92,77,77,57
68,93,93,79,87,88,93,77,77,57
69,93,93,79,87,88,93,77,77,57
70,93,93,79,87,88,93,77,77,57
71,93,93,79,87,88,94,77,77,57
72,93,93,79,87,88,94,77,77,57
73,93,93,79,87,89,95,77,77,57
74,93,93,79,87,89,95,77,77,57
75,93,93,80,87,89,95,77,77,57
76,93,93,80,87,89,95,77,77,57
77,93,93,80,87,89,95,77,77,57
78,93,93,80,87,89,95,77,77,57
79,93,93,80,87,89,95,77,77,57
80,93,93,80,87,89,95,77,77,57
81,93,93,80,87,89,95,77,77,57
82,94,94,80,87,89,95,77,77,57
83,94,94,80,87,89,95,78,77,57
84,94,94,80,87,89,95,78,77,57
85,94,94,80,87,89,95,78,77,57
86,94,94,80,87,89,95,78,77,57
87,94,94,80,87,89,95,78,77,57
88,94,94,80,87,89,96,78,77,57
89,94,94,80,87,90,96,78,77,57
90,94,94,80,87,90,96,78,77,57
91,94,94,80,87,90,96,78,77,57
92,94,94,81,87,90,96,78,77,57
93,94,94,81,87,90,96,78,77,57
94,94,94,81,87,90,96,78,77,57
95,94,94,81,87,90,96,78,77,57
96,94,94,81,87,90,96,78,78,57
97,94,94,81,87,90,96,78,78,57
98,94,94,81,87,90,96,78,78,57
99,94,94,81,87,91,96,78,78,57
100,94,95,81,87,91,96,78,78,57
101,95,95,81,87,91,96,78,78,57
102,95,95,81,87,91,96,78,78,57
103,96,96,81,87,91,96,78,78,57
104,96,96,81,87,91,96,78,78,57
105,96,96,81,87,91,96,78,78,57
106,96,96,81,87,91,96,78,78,57
107,96,96,81,87,91,96,78,78,57
108,96,96,81,87,91,96,78,78,57
109,96,96,82,87,91,96,78,78,57
110,96,96,82,87,91,96,78,78,57
111,96,96,82,87,91,96,78,78,58
112,96,96,82,87,91,96,78,78,58
113,96,96,82,87,91,96,78,79,58
114,96,96,82,87,91,96,79,79,58
115,96,96,82,87,91,96,79,79,58
116,96,96,83,87,91,96,79,79,58
117,96,96,83,87,91,96,79,79,58
118,96,96,83,87,91,96,79,79,58
119,96,96,83,87,91,96,79,79,58
120,96,96,83,87,91,96,79,79,58
121,96,96,83,87,91,96,79,79,58
122,96,96,83,87,91,96,79,79,58
123,96,96,83,87,91,96,79,79,58
124,96,96,83,87,91,96,79,79,58
125,96,96,83,87,91,96,79,79,58
126,96,96,83,87,91,96,79,79,58
127,96,96,83,87,91,96,79,79,58
128,96,96,83,87,91,96,79,79,58
129,96,96,83,87,91,96,79,79,58
130,96,96,83,87,91,96,79,79,58
131,96,96,83,87,92,96,79,79,58
132,96,96,83,87,92,96,79,79,58
133,96,96,83,87,92,96,79,79,58
134,96,96,83,87,92,96,79,79,58
135,96,96,83,87,92,96,79,79,58
136,96,96,83,87,92,96,79,79,58
137,96,96,83,87,92,96,79,79,58
138,96,96,83,87,92,96,79,79,58
139,96,96,83,87,92,96,79,79,58
140,96,96,83,87,92,96,79,79,58
141,96,96,83,87,92,96,79,79,58
142,96,96,83,87,92,96,79,79,58
143,96,96,83,87,92,96,79,79,58
144,96,96,83,87,92,96,79,79,58
145,96,96,83,87,92,96,79,79,58
146,96,96,83,87,92,96,79,79,58
147,96,96,83,87,92,96,79,79,58
148,96,96,83,87,92,96,79,79,58
149,96,96,83,87,92,96,79,79,58
150,96,96,83,87,92,96,79,79,58
151,96,96,83,87,92,96,79,80,58
152,96,96,83,87,92,96,79,80,58
153,96,96,83,87,92,96,79,80,58
154,96,96,83,87,92,96,79,80,58
155,96,96,83,87,92,96,79,80,58
156,96,96,83,87,92,96,79,80,58
